entry	runner_on_main	blocks_after	test	removal_red	status
B11	gate.unprobed_fanout	gate.unprobed_fanout	tests/test_dispatch.py::test_dispatch_pre_obligation_denies_the_act_until_its_guard_runs[gate.unprobed_fanout]	yes	BLOCKED
B26	gate.self_wired	gate.self_wired	tests/test_dispatch.py::test_dispatch_self_wired_gate_blocks_when_it_fires	yes	BLOCKED
C8	gate.claimed_running	gate.claimed_running	tests/test_dispatch.py::test_dispatch_claimed_running_gate_blocks_after_recorded_failed_launch	yes	BLOCKED
D1	gate.completion	gate.completion	tests/test_dispatch.py::test_dispatch_completion_gate_blocks_by_default	yes	BLOCKED
D4	gate.stale_pass	gate.stale_pass	tests/test_dispatch.py::test_dispatch_stale_pass_gate_blocks_on_live_lastfailed	yes	BLOCKED
D11	event.thrash_revert	event.thrash_revert	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[event.thrash_revert]	yes	BLOCKED
D12	gate.unknown_ref_switch	gate.unknown_ref_switch	tests/test_dispatch.py::test_dispatch_pre_obligation_denies_the_act_until_its_guard_runs[gate.unknown_ref_switch]	yes	BLOCKED
D14	gate.unobserved_destruction	gate.unobserved_destruction	tests/test_dispatch.py::test_dispatch_pre_obligation_denies_the_act_until_its_guard_runs[gate.unobserved_destruction]	yes	BLOCKED
E7	dispatch fail-closed	content.env_gated_audit	tests/test_smoke.py::test_env_gated_audit_is_denied_on_the_wire	yes	BLOCKED
F2	tests/test_gate_shape.py	gate.pasted_fix	tests/test_dispatch.py::test_dispatch_pasted_fix_gate_blocks_when_it_fires	yes	BLOCKED
F7	gate.stale_pass	gate.stale_pass	tests/test_dispatch.py::test_dispatch_stale_pass_gate_blocks_on_live_lastfailed	yes	BLOCKED
F8	gate.plan_item_drift	gate.plan_item_drift	tests/test_dispatch.py::test_dispatch_plan_item_drift_gate_blocks_when_it_fires	yes	BLOCKED
F14	content.verifier_body_hollowed	content.verifier_body_hollowed	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[content.verifier_body_hollowed]	yes	BLOCKED
G1	content.phantom_citation	content.phantom_citation	tests/predicates/test_makoto_allow_exemption.py::test_1_6_violation_fires_but_makoto_allow_exempts	yes	BLOCKED
B1	gate.self_wired	gate.self_wired	tests/test_dispatch.py::test_dispatch_self_wired_gate_blocks_when_it_fires	yes	BLOCKED
B5	gate.hollow_test	gate.hollow_test	tests/test_dispatch.py::test_dispatch_hollow_test_gate_blocks_on_hollow_test	yes	BLOCKED
B10	tests corpus-FP invariant	hooks.json prompt: makoto B10	tests/test_judged_hooks.py::test_judged_entry_is_a_scoped_prompt_hook_naming_its_fix_line[B10]	yes	BLOCKED (model-judged; test pins the entry, not the judgement)
B20	gate.hollow_test	gate.hollow_test	tests/test_dispatch.py::test_dispatch_hollow_test_gate_blocks_on_hollow_test	yes	BLOCKED
B21	tools/merge_pass.py	hooks.json prompt: makoto B21	tests/test_judged_hooks.py::test_judged_entry_is_a_scoped_prompt_hook_naming_its_fix_line[B21]	yes	BLOCKED (model-judged; test pins the entry, not the judgement)
B34	tools/register_map.py	hooks.json prompt: makoto B34	tests/test_judged_hooks.py::test_judged_entry_is_a_scoped_prompt_hook_naming_its_fix_line[B34]	yes	BLOCKED (model-judged; test pins the entry, not the judgement)
C3	gate.named_test	gate.named_test	tests/test_dispatch.py::test_dispatch_named_test_gate_blocks_after_recorded_named_red	yes	BLOCKED
C4	dispatch loud-allow on predicate error	content.verifier_exit_masking	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[content.verifier_exit_masking]	yes	BLOCKED
C5	dispatch fail-closed	content.fallthrough_match	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[content.fallthrough_match]	yes	BLOCKED
C11	gate.report_before_run	gate.report_before_run	tests/test_dispatch.py::test_dispatch_pre_obligation_denies_the_act_until_its_guard_runs[gate.report_before_run]	yes	BLOCKED
D9	gate.self_wired	gate.self_wired	tests/test_dispatch.py::test_dispatch_self_wired_gate_blocks_when_it_fires	yes	BLOCKED
E1	tests/test_stop_gate_level_invariant.py	gate.liveness	tests/test_dispatch.py::test_dispatch_liveness_gate_blocks_on_illusory_code	yes	BLOCKED
B32	gate.undeclared_falsifiable	gate.undeclared_falsifiable	tests/test_dispatch.py::test_dispatch_undeclared_falsifiable_gate_blocks_when_it_fires	yes	BLOCKED
F10	gate.canon	gate.canon	tests/test_dispatch.py::test_dispatch_canon_gate_blocks_by_default	yes	BLOCKED
H1	content.unsourced_webfetch	content.unsourced_webfetch	tests/test_dispatch.py::test_dispatch_unsourced_webfetch_catches_mcp_fetch_tool	yes	BLOCKED
H2	gate.stale_pass	gate.stale_pass	tests/test_dispatch.py::test_dispatch_stale_pass_gate_blocks_on_live_lastfailed	yes	BLOCKED
H3	gate.pasted_fix	gate.pasted_fix	tests/test_dispatch.py::test_dispatch_pasted_fix_gate_blocks_when_it_fires	yes	BLOCKED
H5	audit log	content.fabricated_commit_sha	tests/test_dispatch.py::test_dispatch_select_recent_returns_history_so_history_predicate_fires	yes	BLOCKED
H6	gate.unclaimed_unit	gate.unclaimed_unit	tests/test_dispatch.py::test_dispatch_unclaimed_unit_gate_blocks_when_it_fires	yes	BLOCKED
A11+	-	event.repeated_append	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[event.repeated_append]	yes	ALSO (T mesh case)
E12+	-	event.owner_path	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[event.owner_path]	yes	ALSO (T mesh case)
G1+	-	content.loosened_after_red	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[content.loosened_after_red]	yes	ALSO (T mesh case)
C11+	-	gate.unverified_merge	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[gate.unverified_merge]	yes	ALSO (T mesh case)
A13+	-	event.regime_unnamed	tests/test_pre_rows_deny_through_dispatch.py::test_pre_row_denies_its_instance_through_dispatch[event.regime_unnamed]	yes	ALSO (T mesh case; opt-in require_regime)
G1+	-	gate.unworded_close	tests/test_dispatch.py::test_dispatch_unworded_close_gate_blocks_a_close_citing_no_owner_row	yes	ALSO (T mesh case; opt-in words_file)
C11+	-	gate.unrun_count_claim	tests/test_dispatch.py::test_dispatch_unrun_count_claim_gate_blocks_a_count_with_no_run	yes	ALSO (T mesh case)
E12+	-	event.owner_path (owner's own words)	tests/test_pre_rows_deny_through_dispatch.py::test_owner_path_reads_the_owners_own_words	yes	ALSO (T mesh case)
