# LEDGER — Makoto, at 5a49fb8
#
# One row per check. Mostly a projection of load_checks(): Check already declares eats,
# tests, applies_at, layer and may_block, so those columns are extracted, not measured.
#
# WITNESS    CORRECTED. An earlier version of this file cited
#            `test_pre_tier_block_invariant` as the witness for all 15 Pre checks. That
#            law asserts each check's `posture` FIELD equals BLOCK. It never runs a
#            check, so it is not evidence that one fires -- the same class of
#            non-evidence as Keel's occasion algebra, and this file was asserting it as
#            a witness. The real witnesses are named per row:
#              * Pre  -- its own file under tests/predicates/, which drives the
#                predicate and pins what it does and does not fire on.
#              * Stop -- test_stop_gate_level_invariant, which fires EVERY live gate
#                through its real .run(ctx), the exact call run_stop_checks makes.
#            Verified by disarming rather than by reading, and the disarm is NAMED so the
#            number is reproducible. Re-measured 2026-08-30 against a 1934-test suite:
#              * illusoryInterruptionClaim -- replace _INTERRUPTION_CLAIM_RX with a regex that
#                matches nothing: 6 tests redden, all in tests/predicates/.
#              * writeThrashRevert -- make `predicate` return None as its first statement:
#                3 tests redden, including test_live_catalog_registration_is_reachable_in_dispatch.
#            The second read 8 before this re-measurement and nothing checked it, so it had
#            drifted as the suite changed. These are RECORDED measurements, not a gate: no test
#            re-runs them, because two disarmed suite passes cost ~90s on every run. Reproduce
#            with the disarms exactly as named above.
#
# FIRES_VIA  the edge. Of five allowed edges only Pre and Stop carry any check; Post,
#            SessionStart and SubagentStop admit checks nothing declares, and a check on
#            an edge the dispatcher cannot deliver would load clean and never fire.

repo	piece	seam	eats	fires_via	posture	may_block	layer	witness	label
Makoto	gate.canon_fingerprints	plugin/makoto/checks/gate.canon_fingerprints	history,session_id,state_root,text,transcript_path	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.canon_fingerprints_advisory	plugin/makoto/checks/gate.canon_fingerprints_advisory	history,text	Stop	ADVISE	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.claimed_running	plugin/makoto/checks/gate.claimed_running	history_all_agents,text	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.claimed_shipped	plugin/makoto/checks/gate.claimed_shipped	cwd,history_all_agents,text	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.completion	plugin/makoto/checks/gate.completion	cwd,empty,fs_exists,fs_size,text,touched	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.contract_order	plugin/makoto/checks/gate.contract_order	plan	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.dropped	plugin/makoto/checks/gate.dropped	empty,fs_exists,fs_read,fs_size,text,touched	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.fabricated_action	plugin/makoto/checks/gate.fabricated_action	history,text	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.green_claim	plugin/makoto/checks/gate.green_claim	testrun_output,text	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.hollow_test	plugin/makoto/checks/gate.hollow_test	cwd,fs_read,touched	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.liveness	plugin/makoto/checks/gate.liveness	cwd,fs_read,touched	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.named_test	plugin/makoto/checks/gate.named_test	history,text	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.plan_item_drift	plugin/makoto/checks/gate.plan_item_drift	open_plan_items	Stop	ADVISE	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.relative_path_citation	plugin/makoto/checks/gate.relative_path_citation	text	Stop	ADVISE	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.run_promised	plugin/makoto/checks/gate.run_promised	history	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.self_wired	plugin/makoto/checks/gate.self_wired	fs_read	Stop	ADVISE	True	meta	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.stale_establisher	plugin/makoto/checks/gate.stale_establisher	plan	Stop	advise	False	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.stale_pass	plugin/makoto/checks/gate.stale_pass	cwd,text	Stop	BLOCK	True	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
Makoto	gate.undeclared_falsifiable	plugin/makoto/checks/gate.undeclared_falsifiable	(none)	Stop	advise	False	object	test_stop_gate_level_invariant (fires it through its real .run(ctx))	machine-checked
