entry	verdict	runner	note
B18	NOT-COUNTABLE	-	argued, not probed. The witness is that the scored set was not the one the thing was built from. The record shows a score and the file it ran on, never what shaped the thing being scored, and a score on a file the session wrote itself reads the same as an honest regression test
B26	RUNNER	gate.self_wired	makoto's own liveness is an output; absence of its wiring fails loud
C8	RUNNER	gate.claimed_running	"it's up" is graded against what the run itself emitted
D1	RUNNER	gate.completion	a write is graded by reading the artifact back, never by the write returning; also content.verifier_exit_masking: a computed nonzero exit that is silenced is the dropped status (from C1); also gate.completion: the artifact is looked for where a consumer would find it, under cwd (from D2)
D4	RUNNER	gate.stale_pass	a derived pass older than its source is refused against the live record
D8	NOT-COUNTABLE	-	argued, not probed. The witness is a run at the real magnitude in the shipped form, and the real magnitude appears in no hook payload; any fixed size a check chose would be a guess at it
D11	RUNNER	event.thrash_revert	a whole-artifact rewrite that lands back where it started is refused
D12	RUNNER	gate.unknown_ref_switch	denied at the Pre edge before the act runs; moving HEAD to a ref needs the ref printed first, so what must survive the boundary is named; BLOCK since 2026-09-25, ported by shape from Keel's clause U09 (the previous OUT-OF-SUBJECT note was right about a copy into volatile storage, and wrong that makoto crosses no boundary -- a git checkout in its own Bash record is one)
D14	RUNNER	gate.unobserved_destruction	denied at the Pre edge before the act runs; destroying content needs a verifier report before it, or there is no pre-image an undo could be proven against; BLOCK since 2026-09-25, ported by shape from Keel's clause U20, over the one destructive classifier substrate/_canonAtoms already owns (the previous NOT-COUNTABLE note graded proving the undo, which is not countable; whether anything was observed first is)
E7	RUNNER	content.env_gated_audit	an audit gated on an environment variable lets ambient state choose whether the check runs -- blocked when the agent writes it (E4: the platform chose the posture); also dispatch fail-closed: makoto's own posture is declared per check, never inherited from the platform
F2	RUNNER	gate.pasted_fix	one repair's text landing at a second site makes a twin whose correctness is inferred from the first -- blocked at stop until a verifier checks it (F1: the fix on one twin); also tests/test_gate_shape.py: makoto's own gate registration has one owner
F7	RUNNER	gate.stale_pass	the record is re-read at the moment of the claim, not before it
F8	RUNNER	gate.plan_item_drift	an unchanged open item blocks each stop until it is said done or retracted (BLOCK since 2026-09-25)
F14	RUNNER	content.verifier_body_hollowed	"no behaviour change" is graded on the body, not on the description
G1	RUNNER	content.phantom_citation	the cited source must exist before the sentence resting on it stands (carried from B24, folded into G1); also gate.fabricated_action: a claimed tool action must sit beside the tool call it rests on
A6	NOT-COUNTABLE	-	REFUSED WITH A MEASUREMENT. The closest reading, a float-literal comparison mapped straight onto 0 or 1 (`1 if s >= 0.9 else 0`), matched 0 of 2,331 files (this tree, Measure-Zero, Measure-Zero-Dev, CPython 3.11's stdlib, and the site-packages of this tree's test environment). Whether a threshold collapses a gradient depends on where the inputs fall, and neither the written code nor any hook payload carries the inputs
B1	RUNNER	gate.self_wired	makoto's own wiring is read from disk rather than assumed
B5	RUNNER	gate.hollow_test	a verifier whose verdict is constant is a hollowed body
B10	RUNNER	tests corpus-FP invariant	every blocking check is certified at zero false positives on the shipped corpus
B20	RUNNER	gate.hollow_test	a test edited until it passes is a gutted test
B21	RUNNER	tools/merge_pass.py	each pair is refuted by its own discriminant, never by a sibling's
B28	NOT-COUNTABLE	-	argued, not probed. The fault is an absence: no case replays a real succession into shared state. The suite that would hold that case can sit anywhere, a Write shows one file, and a Stop check sees only what ran this session, so no event can establish the absence
B34	RUNNER	tools/register_map.py	makoto's own law is run over makoto, and names every region it cannot reach: the NOT-COUNTABLE and OUT-OF-SUBJECT rows below
B37	NOT-COUNTABLE	-	the witness is that two differently-worded predicates are equal. Equality of two predicates is undecidable in general (Rice's theorem); the register's own cure is an act, a run over both, but no event marks two predicates as meant to be equal
C3	RUNNER	gate.named_test	each named test is evaluated on its own name
C4	RUNNER	content.verifier_exit_masking	a verifier's failure (a crash included) masked with || true, set +e or a dropped $? lets the act proceed as if it passed -- blocked when the agent runs it; makoto's own dispatch still logs and skips a predicate that raises (dispatch loud-allow on predicate error, audit.append_error): a deny there would have no in-turn discharge
C5	RUNNER	dispatch fail-closed	an unrecognised event shape ends in an error, not a fallthrough
C11	RUNNER	gate.report_before_run	denied at the Pre edge before the act runs; a run's success written into a prose document with no verifier run anywhere before it, so the report precedes the outcome it reports; BLOCK since 2026-09-25, on the same ACT_VS_GUARD factory as the Keel-shaped obligations. Prose documents only: a verdict inside a .py file is a fixture, not a report, which is integritySuppressionFlag's .md decision mirrored for the mirrored reason; also gate.run_promised: a run promised last turn with no Bash call since, so the narration stood in for the run
D9	RUNNER	gate.self_wired	makoto excludes itself by identity from the set it judges; also gate.canon_fingerprints: the check requires green before the plant; the pattern is not carried in the detector (from B17)
E1	RUNNER	gate.liveness	a statement whose result reaches nothing is a branch with no witness input, at statement grain -- blocked when the agent writes it; also tests/test_stop_gate_level_invariant.py: every makoto gate carries a scenario that selects it
E8	NOT-COUNTABLE	-	argued, not probed. The witness is the combination of settings that ships, run and pinned. Which combination ships appears in no hook payload, so no event separates a tested combination from the one that matters
E9	NOT-COUNTABLE	-	REFUSED WITH A MEASUREMENT. The closest reading, an except handler that re-runs the call its own try just failed, matched 44 sites in 2,331 files (this tree, Measure-Zero, Measure-Zero-Dev, CPython 3.11's stdlib, and the site-packages of this tree's test environment); CPython 3.11 zipfile.py:505-507 retries `encode` with 'utf-8' after 'ascii' fails, and the fallback does cover its trigger. Whether it does depends on what the callee fails on, which the code does not state
F6	NOT-COUNTABLE	-	argued, not probed. The witness is a walk of the small state space. The states, and which of them a removal or an addition reaches, are behaviour of the code across runs, which no single event holds
F12	NOT-COUNTABLE	-	a discriminating observation between mechanisms is a similarity judgement
B32	RUNNER	gate.undeclared_falsifiable	a claim whose falsifier is itself names nothing
F10	RUNNER	gate.canon	the event is re-derived from the session's own record, never from a digest of it
H1	RUNNER	content.unsourced_webfetch	the primary artifact must have been seen before it is cited (carried from F4, folded into H1)
H2	RUNNER	gate.stale_pass	the record's watermark is checked against the live lastfailed (carried from F16, folded into H2)
H3	RUNNER	gate.pasted_fix	one repair's text edited into a SECOND file with no verifier run after the first landing (between, or after the second), so the second site's correctness is drawn from the first rather than checked; BLOCK since 2026-09-25. The naive reading -- two or more edits with no run between them -- was measured on this tree's own 185 non-merge commits before a line was written and fires on 73.5% of them, so it is not what this builds. Three narrowings, each with the rate it bought: the same normalized text in two distinct files (73.5 -> 9.2%), Edit/MultiEdit only because a fix changes what exists while a WRITTEN file carries the house import header (9.2 -> 3.8%), and a block carrying a line that is not a comment, an import or a decorator (3.8 -> 3.2%). The grain of four substantial lines is the same measurement: one line fires on 21.1% and eight on nothing at all
H4	NOT-COUNTABLE	-	in subject and REFUSED WITH A MEASUREMENT rather than left open. The reading the handoff named as closest -- a verdict naming N members of a set where the record shows reads of fewer than N distinct members -- was built as a probe and run against a real Claude Code ledger, 29 turns carrying a claim. The counted-universal trigger matched 2 of them. One fires, and it is a false positive: `All 1086 ordered same-edge pairs refuted` was established by running tools/merge_pass.py, one command that checked all 1086, so the record holds 0 distinct file reads and no bulk result naming 1086 paths. That is the shape of the fault in the reading rather than a threshold to tune: in real work a claim over N items is discharged by a TOOL that examines the N items, so counting distinct reads against N is wrong by construction, and the bulk-read discharge the handoff asked for does not save it because merge_pass.py's output names no paths at all. The second match went silent only because the bulk heuristic happened to see 14 paths against N=7, a coin flip rather than a discriminant. Repairing it would mean judging whether a tool's output COVERS a prose-named set, which is the similarity judgement F12's row declines for this tree and the exact gate.unnamed_failure / gate.named_test overlap the handoff named as the risk. Prior art outside the tree agrees the fault is real and not visible in a trace: arXiv 2608.25869 measures anchoring in LLM judges through token log-probabilities, which a hook does not have, and published trace-audit tooling checks only that a claimed tool call happened, leaving quantified claims unaudited. Reopen this row if a corpus of real ledgers large enough to measure a rate becomes available; one session cannot produce one
H5	RUNNER	content.fabricated_commit_sha	a commit named by a SHA no git commit/tag produced is a referent drawn from the head, not read from source -- blocked (from D3); also the audit log: every makoto fire is persisted as a row, not held in the window. every FIRE is persisted to the audit log rather than held in the window, so a referent can be read back from a row instead of from the head
H6	RUNNER	gate.unclaimed_unit	a top-level def or class the session introduced that no genuine operator turn names, nothing it wrote reaches, and no decorator registered; BLOCK since 2026-09-25. A decorator IS a claim (the framework calling it is the source that asks for it) and a test_-prefixed def is claimed by collection, which is what makes the probe material rather than firing on every unit written
